"text","word_scores","compound","pos","neu","neg","but_count"
"â€œThe individual benefits as an individual from his ability to deny the truth even though society as whole, of which he is part of, suffersâ€

I think many people need to read the Tragedy of the Commons and then work on holistic solutions to the climate crisis

#ClimateJustice","{0, 0, 1.6, 0, 0, 0, 0, 0, 1.3, 0, -1.4, 0, 1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0.7, 0, 0, 0, -3.1, 0}",-0.612,0.146,0.674,0.179,0
"The Ninth Ward is bellow sea level, which means itâ€™s more susceptible to flooding

This is where natural solutions come in, specifically restoring natural coastal protection https://t.co/CoDMCNjJu8","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0.7, 0, 0, 0, 1.2, 1.5, 0, 0, 0}",0.785,0.279,0.721,0,0
"I went to the Ninth Ward, which is where Katrina hit in 2005

This was the most affected community in New Orleans, and it still is

Businesses left, trash is tossed there, and the city is sinking

These are the communities that need wholistic solutions, and a seat at the table https://t.co/vxiv3vvkYt","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7, 0, 0, 0, 0, 0, 0, 0}",-0.05,0.032,0.933,0.035,0
"I hope this helped! Ask questions!

Remember, the world doesnâ€™t change when 1,000 people do climate-justice activism perfectly, it changes when billions of people do it the best they can","{0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2, 0, 0}",0.917,0.306,0.694,0,0
"10- Talk about greenwashing, environmental racism, green gentrification (or how I call it, greentrification), and what an equitable transition means","{0, 0, 0, -0.4, 0, -3.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.67,0,0.766,0.234,0
"8- Meet people where theyâ€™re at â€”&gt; not everyone knows the climate crisis back and forth. Explain it and present solutions 

9- Use accessible language. Not everyone knows about PPM (parts per million), or the IPCC (intergovernmental panel on climate change)","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.1, 0, 0, 0, 0, 0, 0, 0, 0.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.527,0.038,0.871,0.092,0
"6- At events that you hold, invite indigenous peoples to do land acknowledgements, and remember that indigenous knowledge is the foundation for addressing the climate crisis

7- Always convey that individual and structural change are both indisputably necessary","{0, 0, 0, 0, 0, 0, 0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.542,0.038,0.863,0.098,0
"4- Make your activism intersectional, include all stakeholders in your decision making, and donâ€™t tokenize

5- Just for the sake of efficiency, donâ€™t do things the patriarchal way, the racist way, the exhausting way, or any way that excludes marginalized voices","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0}",-0.612,0.053,0.809,0.138,0
"10 tips for being a climate justice activist:

1- Donâ€™t start from scratch, there are hundreds of existing initiatives that you can join

2- Maintain good communication with your peers and the adult organizations that you partner with

3- Take good care of yourself and others","{0, 0, 0, 0, 0, 0, 2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 2.2, 0, 0, 0, 0}",0.927,0.263,0.737,0,0
"I just started my class on global environmental policy! 

First lesson: Collaboration, not competition, is one of the most effective solutions to the climate crisis

Work together intergenerationally, across sectors, across levels of government, across industries â€”&gt;&gt; <U+2764><U+FE0F><U+0001F30D>","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.393, 0.97835, 0, 0, 0, -3.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.144,0.127,0.782,0.092,0
"It was an honor to meet one of my heroes @marybtinker! 

Her Supreme Court case set the precedent that allows students to speak up in school!

Without leaders like her, we mightâ€™ve not been able to strike

This is what intergenerational learning looks like. Thank you @BBCWorld! https://t.co/Kqll3ghOri","{0, 0, 0, 2.2, 0, 0, 0, 0, 0, 2.3, 0, 0, 2.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.11, 0, 0, 0, 0, 0, 0, 0, -0.5, 0, 0, 0, 0, 0, 0, 1.5, 1.5, 0, 0, 0}",0.924,0.264,0.677,0.06,0
"Climate Activists of color are here, but the media portrayal of the movement often misrepresents this

The climate crisis affects communities of color the mostâ€” and that side of our struggle canâ€™t be overlooked

You are so strong @vanessa_vash, and weâ€™re all here with you <U+2764><U+FE0F> https://t.co/w7Gk4TceTW","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.95, 0, 0, -0.15, 0, 0, 0, 3.8895, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.594,0.085,0.746,0.169,1
"Amazing article showing the relationship between climate activists and their moms! Thank you @anya1anya https://t.co/1TL9mRV2ZE","{2.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0}",0.764,0.336,0.664,0,0
"If only colleges had the same energy to fight for climate justice and divest from fossil fuels <U+0001F928>

Act Now! File for divestment today! Our future is one click away! https://t.co/VLGQz8HXsn","{0, 0, 0, 0, 0, 0, 1.1, 0, -1.6, 0, 0, 2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.583,0.172,0.757,0.07,0
"@gjcats @nora_germain @NASA Thank you for this clarification. Indeed, this video shows emissions https://t.co/i3LEX0lE5b","{0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.361,0.161,0.839,0,0
"@nora_germain @NASA You can go to https://t.co/uGfZ37wMdn for more data and explanations. Australia has less sources of emissions, although it still emits a lot","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Youth can be very effective vehicles to communicate the scientific consensus. And we have been. We need to step up and we need everyone. <U+2764><U+FE0F><U+0001F30D>

All the visuals were presented by @NASA representatives and scientists","{0, 0, 0, 0, 2.393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.526,0.091,0.909,0,0
"The red represents the currents of water that are warmer than normal. The blue represents currents that are cooler than normal. Climate change is destabilizing the natural cycles of earth, thus creating stronger anomalies in weather patterns. -@NASA https://t.co/8WSCEFO9Jt","{0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 1.2, 1.6, 0, 0, 0, 0, 0, 0}",0.818,0.213,0.787,0,0
"This is hurricane MarÃ­a. Climate change is disrupting the currents of warmth and making hurricanes bigger and stronger. -@NASA https://t.co/VNUxzJLY66","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1.6, 0, 0}",0.681,0.237,0.763,0,0
"This is the concentration of CO2 in the atmosphere. As we can see, the global north is the primary emitter of CO2â€“ developed countries must step up to cut emissions. -@NASA https://t.co/yGGrkOl5Sk","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0, 0, 0}",-0.273,0,0.937,0.063,0
"If Earth was a bowl, the red would be the carbon dioxide concentration that is above 400ppm for the year 2015. -@NASA https://t.co/ewWBHlMtf2","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"I am currently at the @NCSEGlobal conference on science and policy. The purpose of this conference is to make science available to the general public. Let me tell you about some science you should know.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"We must all do our bestâ€” doing our best is to have thoughtful conversations and discussions as well. But when it comes to facts, it is much better if we turn our attention to cutting carbon emissions, implementing regenerative agriculture, teaching about climate in schools, etc.","{0, 0, 0, 0, 0, 0, 0, 0, 1.6, 0, 0, 0, 0.8, 0, 0, 0, 0, 0.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85, 0, 0, 0, 0, 0, 0, -0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.794,0.186,0.78,0.033,1
"Why does it seem like women are leading the climate movement? 

Women who have taken it as a path to act, areâ€” and men, well, they are mostly judging womenâ€™s work, knowledge, and experience

We canâ€™t loose time fighting over facts. Instead we must act, educate, and mitigate https://t.co/dbK3kjdhV3","{0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.052,0.085,0.827,0.088,0
"Hi, kids are already fighting for:

-Climate Justice
-Gun Control
-Indigenous Rights
-Womenâ€™s Rights
-Immigration Reform
-LGBTQ+ Rights
-Black Lives Matter
-Disability Rights
-Voting Rights, etc

Stop furthering injustice and fix whatâ€™s broken. We will speak up. 

#NoWarWithIran","{0, 0, 0, 0, -1.5, 0, 0, 2.4, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, -1.2, 0, -2.7, 0, 0, 0, -2.1, 0, 0, 0, 0, 0}",-0.856,0.091,0.628,0.281,0
"@JoshuaRush Yes.","{0, 1.7}",0.402,0.73,0.27,0,0
"@DaisyJeffrey2 Ily and miss u <U+0001F602><U+0001F495><U+0001F495>","{0, 3.4, 0, -0.6, 0, 0}",0.586,0.44,0.4,0.16,0
"We will stay strong, we will keep educating ourselves. We will keep centering morality in our activism bc its a value. 

Kennedy was able to end the Cuban Missile Crisis only by talking to Khrushchev about what was best for the world. We need moral leadership.","{0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4, 0, 0, 0, 0, 0, 0, 0, 0, -3.1, 0, 0, 0, 0, 0, 0, 0, 0, 3.2, 0, 0, 0, 0, 0, 0, 0}",0.7,0.177,0.75,0.073,0
"Weâ€™re already trying to end the systems that are perpetuating the climate crisis. Violence is not productive. It harms our moral clarity and shifts our focus from what humanity must unite behind. We mustnâ€™t fight ourselves when what we need is empathy and stability <U+2764><U+FE0F><U+0001F30E> https://t.co/jQp7H77pVX","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.1, -3.1, 0, 0, 0, 0, 1.628, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.756,0.093,0.718,0.189,0
"We moved our NYC school strike for climate to City Hall because we are demanding bold local climate justice #climatestrike #ClimateJustice https://t.co/LrJb3sRD8p","{0, 0, 0, 0, 0, -0.5, 0, 0, 0, 0, 0, 0, 0, 0, -0.9, 1.6, 0, 0, 2.4, 0, 0, 0}",0.557,0.219,0.657,0.124,0
"When people think the youth movement will slow down... <U+0001F926><U+200D><U+2640><U+FE0F>
Happy birthday @GretaThunberg (aka Sharon) <U+0001F389> https://t.co/Fc8qkQzGA0","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7, 0, 0, 0, 0, 0, 0}",0.572,0.188,0.812,0,0
"2019 was the year when everyoneâ€™s life changed, it was the year for raising awareness. 2020 is the year when we all stand up and change the world. 

My 2020 wish is that everyone who came to the streets on 2019 becomes an activist <U+2764><U+FE0F> https://t.co/2CgdlEkAmX","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.402,0.057,0.943,0,0
"@igorhistoriador @GretaThunberg @olivepit_ @polyglotale @marco6v @goldsgracie @sabirahmahmud @robbyquesada @realjysgl @darius_korin @F4F_NYC @Fridays4future Usamos os mesmos cartazes todas as semanas","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"@infosec_ze @WarrensCorner @GretaThunberg @olivepit_ @polyglotale @marco6v @goldsgracie @sabirahmahmud @robbyquesada @realjysgl @darius_korin @F4F_NYC @Fridays4future Oh okay that makes sense. Thank you for clarifying","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9, 0, 0, 0, 1.5, 0, 0, 0}",0.527,0.18,0.82,0,0
"@WarrensCorner @GretaThunberg @olivepit_ @polyglotale @marco6v @goldsgracie @sabirahmahmud @robbyquesada @realjysgl @darius_korin @F4F_NYC @Fridays4future Yes, agree. But today is the last Friday of December, therefore the last FFF strike of the decade","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.85, 0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.75, 0, 0, 0}",0.214,0.111,0.835,0.054,1
"@aaronyokheved @GretaThunberg @olivepit_ @polyglotale @marco6v @goldsgracie @sabirahmahmud @robbyquesada @realjysgl @darius_korin @F4F_NYC @Fridays4future My 4.0 GPA wants to stay unchanged but thanks","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85}",0.593,0.161,0.839,0,1
"@vanessa_vash @GretaThunberg @Greenpeace Yes Vanessa!!","{0, 0, 0, 1.7, 0}",0.508,0.451,0.549,0,0
"Last strike of the year! Last strike of the decade! Weâ€™re going into 2020 strong. More change is coming <U+0001F30E><U+2764><U+FE0F>
#climatestrike https://t.co/M9LmrUuQMr","{0, -0.5, 0, 0, 0, 0, -0.5, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0}",0.437,0.15,0.734,0.116,0
"@tan123 The usage of fossil fuels is polluting our water and out air. If you donâ€™t â€œbelieveâ€ in global warming I am no one to change your mind. But if we switch to a world that is cleaner and safer through the use of renewable energy, why would you not want that?","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, -0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05, 0, 2.7, 0, 0, 0, 0, 0, 1.65, 0, 0, 0, 0, -0.333, 0}",0.776,0.165,0.785,0.05,1
"9) Now I will leave Twitter for a while, catch up on a week worth of homework, and email as many people as I can <U+0001F60A>","{0, 0, 0, 0, -0.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.178,0.07,0.886,0.044,0
"8) I officially endorsed this statement:
https://t.co/AStImAsbaR","{1.9, 0, 0, 1, 0, 0, 0}",0.599,0.495,0.505,0,0
"7) In conclusion, I am disappointed on the official outcome of #COP25.  But I have hope because I had never gotten these many business cards. We, the people, will keep on networking, partnering, and changing the world for the better https://t.co/K0c5tQFV78","{0, 0, 0, 0, 0, -1.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85, 0}",0.768,0.161,0.796,0.043,1
"6) Government keep blaming the private sector for their inability to act, when the truth is that only the fossil fuel industry and other extractive industries are blocking action. There are *a lot* of businesses such as @BCorporation, that are taking action","{0, 0, 0, -2.2, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.735,0.047,0.779,0.174,0
"5.6) Our last protest was on Friday, in which youth and NGOâ€™s came together   We later joined the #climatestrike that was happening outside the complex https://t.co/cE71GeV4Xw","{0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.25,0,0.926,0.074,0
"5.5) Just hours later, over 300 people blocked the entrance to Baker plenary to advocate for human, indigenous, and womenâ€™s rights in climate negotiations. 320 were kicked out, 12 had their badges removed https://t.co/YEqvzacpsD","{0, 0, 0, 0, 0, 0, 0, -1.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.273,0,0.94,0.06,0
"5.4) Youth took the main stage at the Baker plenary room in our first unauthorized action https://t.co/3vSag8ZJkK","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"5.3) Youth came together to show international unity towards climate justice. We are the decision makers of tomorrow https://t.co/RFugvFa3it","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 0, 0, 0, 0, 0, 0, 0, 0}",0.527,0.159,0.841,0,0
"5.2) â€œWe Are Watching Youâ€ demonstration towards @Shell https://t.co/hI18m7tokx","{0, 0, 0, 0, 0, 0.4, 0, 0, 0}",0.103,0.149,0.851,0,0
"5.1) Sit-in by @Fridays4future youth: https://t.co/sFAjxi4R0Q","{0, 0, 0, 0, 0, 0}",0,0,1,0,0
"5) There have *never* been these many protests at a UN event. I can count at least 6, but there were more. I think that this reflects the willingness of civil society to see climate justiceâ€” itâ€™s not the support of the people that is lacking, itâ€™s your courage to stand up with us","{0, 0, 0, 0, 0, 0, 0, -0.45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.887, 0, 0, 0, 0, 0, 0, 0, 0, 3.3, 0, 0, 0, 0, 0}",0.559,0.113,0.816,0.071,1
"4) The interest of big polluters was definitely felt, as we were mainly talking about ways to *trade* carbon, rather than *reduce* carbon

When we trade carbon, that does not ensure climate justice (Art.6)

It also means that countries are more likely to engage in double counting","{0, 0, 2, 0, 0, -2, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.184, 0, -1.776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6637, 0, 0, 0}",0.104,0.146,0.715,0.139,0
"#ClimateChange
In Ghana, many people from farming backgrounds are forced to find new ways to survive, as droughts, floods &amp; erratic weather patterns upend old agricultural practices.  @UN-supported efforts are helping them to adapt. 
Via @UN_News_Centre https://t.co/KEc6ZMNCar","{0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0}",-0.202,0.055,0.871,0.075,0
"Forest loss, degradation &amp; fragmentation accelerate climate breakdown and biodiversity loss.

This threatens global food &amp; water security and imperils the safety &amp; livelihoods of millions of people.

Find out more about forests at https://t.co/K6RLxm6z11 #WWD2021
#ForNature https://t.co/HsXJrXRPCo","{0, -1.3, -2.4, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, -1.6, 0, 0, 0, 0, 1.4, 0, 0, 0, 1.8, 0, 0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.542,0.146,0.637,0.218,0
"Today is #WorldSeagrassDay

Seagrass beds are a #ClimateAction ally, storing up to 18% of oceanic carbon.

But we lose a football field of seagrass beds every 30 minutes. 

How to restore seagrass in the Western Indian Ocean Region: https://t.co/Tr4wUMOUaT #GenerationRestoration https://t.co/ykTT9Kmb3S","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.19,0.062,0.86,0.078,1
"Hereâ€™s a  what some faith-based organizations are doing #ForNature:

Ethiopia <U+0001F1EA><U+0001F1F9>: saving forests

India <U+0001F1EE><U+0001F1F3>: sustainable yogic farming

Japan <U+0001F1EF><U+0001F1F5>: protecting sacred places through eco-tourism

More at https://t.co/Wt5YZKuCfg

#Faith4Earth #GenerationRestoration https://t.co/xQ2E9oxr1G","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Environmental crime - such as illegal trade in wildlife -  is the 4th largest illegal activity after drug smuggling, counterfeiting and human trafficking. 

Learn about exceptional efforts on the frontlines to stop environmental crime in Asia:  https://t.co/uJkRnLxaUN

#ForNature https://t.co/11ivNyz7pk","{0, -2.5, 0, 0, 0, -2.6, 0, 0, 0, 0, 0, 0, 0, 0, -2.6, 0, 0, 0, -2.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, -2.5, 0, 0, 0, 0, 0}",-0.961,0,0.629,0.371,0
"Maintaining the worldâ€™s living standards with current economic systems would require 1.6 Earths.

To avoid pushing the planet to breaking point, we need global sustainable consumption and production and circular economies.  - @andersen_inger 

How? https://t.co/x69aazZF0n https://t.co/5HNuNHhhcU","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.296,0,0.941,0.059,0
"Here's how young people can get involved &amp; help to #BuildBackGreener after #COVID19<U+0001F447>

 Learn more in the new #GEO6Youth report: https://t.co/glEhBjQlHr https://t.co/9HSIiC1mrT","{0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.402,0.114,0.886,0,0
"The #RaceToResilience is a campaign that will catalyse support for frontline communities to build resilience and adapt to impacts of climate change, such as extreme heat, drought, flooding and sea-level rise.

Join it here:
https://t.co/KDvwBEQmRa
#AdaptOurWorld https://t.co/PmQpROVQcl","{0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0}",0.599,0.123,0.877,0,0
"The economic crisis caused by #COVID19 pandemic and years of extreme #climate events have left almost 8 million people in Central America chronically hungry so far this year.

@WFP is calling on the international community to support its efforts there: https://t.co/hMWvzq4kLw","{0, 0, -3.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0}",-0.34,0.059,0.852,0.09,0
"Youth are playing a pivotal role in driving transformational change globally.

Here's why they are so critical in taking care of our planet <U+0001F30E>

Learn more in our new #GEO6Youth report: https://t.co/glEhBjQlHr https://t.co/iHt8ALVKuH","{0, 0, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.593, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.341,0.133,0.798,0.069,0
"Now is â€œa critical year to reset our relationship with nature"".

""We must put the health of the planet at the centre of all our plans and policies."" 

""Commitments must be underpinned by clear and credible plans.""

@UN SG @antonioguterres at #UNEA5
https://t.co/WiV0JGJtcU","{0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.202,0.088,0.862,0.05,0
"Do you want to know more about our latest report on Making #PeaceWithNature, a sustainable &amp; scientific blueprint for the path forward? Head to our fleets and learn more!
#ForNature #BeatPollution #ClimateAction #UNEA5 https://t.co/axZXkG84pz","{0, 0, 0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.151,0.046,0.954,0,0
"350 million people live within or adjacent to forested areas. 

On  March 3, #WorldWildlifeDay will celebrate forest-based livelihoods and seek to promote forest and forest wildlife management models and practices #ForNature.

More at https://t.co/K6RLxm6z11 https://t.co/4sWnQ3OPrd","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7, 0, 0.9, 0, 0, 0, 1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.802,0.204,0.796,0,0
"#DYK the steps Kenya <U+0001F1F0><U+0001F1EA> is taking to #BeatPollution?

It has...
<U+0001F537> a country-wide prohibition on plastic bags
<U+0001F535> banned plastic bottles, cups &amp; cutlery in its national parks
<U+0001F499> signed the #CleanSeas initiative to rid waterways of plastic waste
&amp; much more: https://t.co/KyDVZQ9VLo https://t.co/R9oTpwFbGl","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.8, 0, 0, 0, 0, 0}",-0.7,0,0.881,0.119,0
"We welcome today's signing of the new annex &amp; look forward to further synergising our efforts in 2021-2025 on<U+0001F30D>climate,<U+0001F98B>biodiversity, &amp; <U+0001F3ED>pollution action.

#StrongerTogether #ForNatureÂ #ZeroPollution https://t.co/9pvsa6xMTq","{0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.459,0.107,0.893,0,0
"Are you interested in a green career?

Here are 5<U+FE0F><U+20E3> subjects to help prepare for one!

Learn more in the #GEO6Youth report: https://t.co/glEhBjQlHr

#GreenJobs https://t.co/hv65k60zBu","{0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.69,0.198,0.802,0,0
